"Stage","Stage_win","Team","Yellow","Green","Polka_dot","White","Agressive"
"Stage_21","rd172","UAE","rd143","rd041","rd111","rd007",""
"Stage_20","rd153","SUN","rd143","rd041","rd111","rd007",""
"Stage_19","rd073","LOT","rd143","rd041","rd111","rd007","rd092"
"Stage_18","rd061","FDJ","rd143","rd041","rd111","rd007","rd084"
"Stage_17","rd091","MOV","rd143","rd041","rd111","rd007","rd017"
"Stage_16","rd111","QUI","rd143","rd041","rd111","rd007","rd115"
"Stage_15","rd014","AST","rd143","rd041","rd111","rd007","rd044"
"Stage_14","rd015","AST","rd143","rd041","rd111","rd007","rd164"
"Stage_13","rd041","BOR","rd143","rd041","rd111","rd007","rd038"
"Stage_12","rd143","SKY","rd143","rd041","rd111","rd007","rd071"
"Stage_11","rd143","SKY","rd143","rd041","rd111","rd007","rd093"
"Stage_10","rd111","QUI","rd032","rd041","rd111","rd007","rd032"
"Stage_9","rd162","TRE","rd032","rd041","rd168","rd154","rd195"
"Stage_8","rd072","LOT","rd032","rd041","rd168","rd154","rd196"
"Stage_7","rd072","LOT","rd032","rd041","rd168","rd154","rd207"
"Stage_6","rd171","UAE","rd032","rd041","rd168","rd154","rd195"
"Stage_5","rd041","BOR","rd032","rd041","rd168","rd154","rd168"
"Stage_4","rd114","QUI","rd032","rd041","rd217","rd154","rd194"
"Stage_3","BMC",NA,"rd032","rd041","rd217","rd154",NA
"Stage_2","rd041","BOR","rd041","rd041","rd217","rd114","rd193"
"Stage_1","rd114","QUI","rd114","rd114","rd206","rd114","rd215"
