"Stage","Stage_win","Team","Yellow","Green","Polka_dot","White","Agressive"
"Stage_21","Alexander Kristoff","UAE-Team Emirates","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour",""
"Stage_20","Tom Dumoulin","Team Sunweb","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour",""
"Stage_19","Primoz Roglic","Lotto NL-Jumbo","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Mikel Landa"
"Stage_18","Arnaud Demare","Groupama-FDJ","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Luke Durbridge"
"Stage_17","Nairo Quintana","Movistar Team","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Tanel Kangert"
"Stage_16","Julian Alaphilippe","Quick-Step Floors","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Philippe Gilbert"
"Stage_15","Magnus Cort","Astana Pro Team","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Rafal Majka"
"Stage_14","Omar Fraile","Astana Pro Team","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Jasper Stuyven"
"Stage_13","Peter Sagan","BORA-hansgrohe","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Michael Schar"
"Stage_12","Geraint Thomas","Team Sky","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Steven Kruijswijk"
"Stage_11","Geraint Thomas","Team Sky","Geraint Thomas","Peter Sagan","Julian Alaphilippe","Pierre Latour","Alejandro Valverde"
"Stage_10","Julian Alaphilippe","Quick-Step Floors","Greg Van Avermaet","Peter Sagan","Julian Alaphilippe","Pierre Latour","Greg Van Avermaet"
"Stage_9","John Degenkolb","Trek-Segafredo","Greg Van Avermaet","Peter Sagan","Toms Skujins","Soren Kragh Andersen","Damien Gaudin"
"Stage_8","Dylan Groenewegen","Lotto NL-Jumbo","Greg Van Avermaet","Peter Sagan","Toms Skujins","Soren Kragh Andersen","Fabien Grellier"
"Stage_7","Dylan Groenewegen","Lotto NL-Jumbo","Greg Van Avermaet","Peter Sagan","Toms Skujins","Soren Kragh Andersen","Laurent Pichon"
"Stage_6","Daniel Martin","UAE-Team Emirates","Greg Van Avermaet","Peter Sagan","Toms Skujins","Soren Kragh Andersen","Damien Gaudin"
"Stage_5","Peter Sagan","BORA-hansgrohe","Greg Van Avermaet","Peter Sagan","Toms Skujins","Soren Kragh Andersen","Toms Skujins"
"Stage_4","Fernando Gaviria","Quick-Step Floors","Greg Van Avermaet","Peter Sagan","Dion Smith","Soren Kragh Andersen","Jerome Cousin"
"Stage_3","BMC Racing Team",NA,"Greg Van Avermaet","Peter Sagan","Dion Smith","Soren Kragh Andersen",NA
"Stage_2","Peter Sagan","BORA-hansgrohe","Peter Sagan","Peter Sagan","Dion Smith","Fernando Gaviria","Sylvain Chavanel"
"Stage_1","Fernando Gaviria","Quick-Step Floors","Fernando Gaviria","Fernando Gaviria","Kevin Ledanois","Fernando Gaviria","Yoann Offredo"
